,F1,F2,F3,F4,F5,F6,F7,F8,Class
99,0.10417,0.42282,0.33902,0.39475,0.37731,0.38784,0.48205,0.45769,Yes
100,0.20596,0.20767,0.31561,0.49809,0.36002,0.43642,0.56090,0.44756,Yes
101,0.20245,0.19271,0.32365,0.49988,0.37426,0.44390,0.44482219318181737,0.49377,Yes
102,0.22911,0.17720,0.37746,0.41618,0.33566,0.47964188275084574,0.31218,0.41656,Yes
103,0.17786,0.24455,0.41541,0.40384,0.37473,0.39163,0.29936,0.46185,Yes
104,0.17827,0.21101,0.31604,0.50829,0.44165719278466725,0.44146,0.39359,0.50176,Yes
105,0.16803,0.24259,0.42874215246636765,0.45411,0.35538,0.41028,0.38013,0.45029,Yes
106,0.09564,0.32876,0.30120,0.41259,0.32045,0.37165,0.58974,0.37941,Yes
107,0.44888,0.26202,0.49777,0.50352,0.45217,0.48143,0.40000,0.65078,Yes
108,0.34283,0.48485,0.58702,0.45073,0.48719,0.46856,0.31538,0.54484,Yes
109,0.16674,0.24761,0.34335,0.46661,0.39850,0.43678,0.37179,0.47805,Yes
110,0.34483,0.14224,0.42628,0.42555,0.32324,0.38001,0.38654,0.50554,Yes
111,0.23368,0.26692,0.38475,0.47473,0.36623,0.42649,0.44482219318181737,0.41131,Yes
112,0.19038,0.23560,0.42874215246636765,0.48171,0.37770,0.43554,0.54295,0.46109,Yes
113,0.18456,0.28745,0.35603,0.46120,0.38679,0.42848,0.40833,0.44510,Yes
114,0.30437,0.19008,0.41060,0.47410,0.36595,0.42602,0.49038,0.5285059502262444,Yes
115,0.22211,0.21596,0.37856,0.51554,0.41614,0.47156,0.50577,0.53771,Yes
116,0.11477,0.17358,0.33776,0.44957,0.34757,0.40423,0.33013,0.45712,Yes
117,0.40961,0.19008,0.46379,0.54984,0.45907,0.50989,0.31474,0.60935,Yes
118,0.15019,0.25344,0.34634,0.49914,0.39874,0.45466,0.53974,0.49160,Yes
119,0.14159,0.24530,0.32300,0.34969,0.32499,0.33935,0.55769,0.5285059502262444,Yes
120,0.14268,0.24162,0.30957,0.38937,0.33070,0.36364,0.42500,0.37950,Yes
121,0.38498,0.21174,0.50355,0.51405,0.44165719278466725,0.48575,0.31795,0.61114,Yes
122,0.2774844730941708,0.28668,0.31938,0.38169,0.35681,0.37135,0.40128,0.39972,Yes
123,0.44335,0.18288,0.48032,0.48869,0.44165719278466725,0.46590,0.47500,0.57578,Yes
124,0.19612,0.13690,0.25861,0.42706,0.29442,0.36768,0.42692,0.35041,Yes
125,0.21268,0.32168,0.35184,0.44442,0.37798,0.41529,0.44551,0.34306,Yes
126,0.24577,0.28512,0.35272,0.52450,0.44463,0.48945,0.47372,0.49631,Yes
127,0.17858,0.15724,0.27182,0.48896,0.34895,0.42638,0.40962,0.38857,Yes
128,0.17530,0.16872,0.21170,0.506856929133858,0.23049,0.25724,0.56090,0.5285059502262444,Yes
129,0.16019,0.20767,0.41832,0.56310,0.44165719278466725,0.50677,0.47885,0.50808,Yes
130,0.42727,0.16823,0.42874215246636765,0.57850,0.50038,0.54440,0.52436,0.62640,Yes
131,0.27363,0.20317,0.41883,0.44755,0.39497,0.42475,0.33141,0.50695,Yes
132,0.24138,0.25603,0.41768,0.506856929133858,0.41966,0.46573,0.42564,0.49761,Yes
133,0.13723,0.21935,0.30826,0.50765,0.40840,0.46372,0.55064,0.42753,Yes
134,0.33040,0.29188037946428597,0.39153,0.51137,0.43102,0.47607,0.49487,0.55070,Yes
135,0.10083,0.24955,0.29328,0.44960,0.35154,0.40606,0.47115,0.37294,Yes
136,0.44881,0.16335,0.50030,0.57067,0.51583,0.54717,0.33846,0.66786,Yes
137,0.15645,0.32267,0.26307,0.43219,0.35591,0.47964188275084574,0.66731,0.40656,Yes
138,0.28730,0.20108,0.36269,0.47697,0.39181,0.43939,0.47436,0.48450,Yes
139,0.21920,0.19590,0.42874215246636765,0.52818,0.38910,0.46613,0.48590,0.49937,Yes
140,0.26098,0.15734,0.37309,0.46008,0.36720,0.41893,0.51603,0.52611,Yes
141,0.10849,0.29188037946428597,0.29682,0.55644,0.44165719278466725,0.47289,0.59359,0.42303,Yes
142,0.28398,0.26356,0.41616,0.43305,0.41960,0.42807,0.44744,0.52000,Yes
143,0.29559,0.22244,0.36084,0.48674,0.36971,0.43464,0.46538,0.45678,Yes
144,0.67586,0.15560,0.63303,0.43369,0.33431,0.38950,0.35577,0.74868,Yes
145,0.43604,0.13490,0.38966,0.47536,0.39951,0.44202,0.28590,0.52959,Yes
146,0.34660,0.29188037946428597,0.45908,0.44842,0.40899,0.43162,0.31667,0.57240,Yes
147,0.28500,0.28551,0.39458,0.54432,0.43421,0.49553,0.41859,0.53955,Yes
148,0.28440,0.18632,0.34055,0.50752,0.39422,0.45718,0.34038,0.58382,Yes
149,0.15582,0.45795,0.41931,0.47358,0.44098,0.45997,0.85897,0.42692,Yes
150,0.11110,0.35517,0.27387,0.43210,0.36795,0.47964188275084574,0.45128,0.35637,Yes
151,0.13997,0.19796,0.28657,0.45023,0.32070,0.39233,0.45128,0.33971,Yes
152,0.23731,0.39939,0.47434,0.57631,0.44165719278466725,0.53664,0.44482219318181737,0.57085,Yes
153,0.21662,0.24126,0.38130,0.46552,0.34053,0.40973,0.41282,0.40352,Yes
154,0.2774844730941708,0.21221,0.32751,0.47060,0.34561,0.41482,0.46859,0.47354,Yes
155,0.09686,0.23972,0.23350,0.40012,0.31027,0.36019,0.31667,0.30380,Yes
156,0.35541,0.25235,0.43315,0.54134,0.41603,0.48561,0.42179,0.55807,Yes
157,0.2774844730941708,0.29188037946428597,0.35948,0.44512,0.38276,0.41785,0.39872,0.50622,Yes
158,0.12583,0.20019,0.36458,0.46033,0.36675,0.41886,0.53333,0.46091,Yes
159,0.23894,0.25344,0.39996,0.49271,0.43967,0.46982,0.52308,0.43273,Yes
160,0.17370,0.31266,0.37645,0.61788,0.48999,0.56117,0.36667,0.63279,Yes
161,0.29943,0.14116,0.39689,0.49905,0.39508,0.45294,0.32756,0.61114,Yes
162,0.2774844730941708,0.34201,0.35986,0.50962,0.44165719278466725,0.46215,0.49551,0.53555,Yes
163,0.19976,0.22660,0.32606,0.35352,0.34642,0.47964188275084574,0.32179,0.40819,Yes
164,0.2774844730941708,0.27879,0.26463,0.43724,0.37481,0.40992,0.32115,0.39740,Yes
165,0.35502,0.27119,0.42594,0.49760,0.43358,0.46971,0.41282,0.61650,Yes
166,0.33575,0.31296,0.43968,0.51964,0.45855,0.49315,0.40449,0.63688,Yes
167,0.35755,0.24282,0.42874215246636765,0.49373,0.42590,0.46409,0.45513,0.60981,Yes
168,0.20722,0.29188037946428597,0.35684,0.49741,0.41703,0.47964188275084574,0.45577,0.50771,Yes
169,0.12974,0.21110,0.26457,0.44417,0.36973,0.41139,0.45385,0.37279,Yes
170,0.2774844730941708,0.19790,0.35409,0.52134,0.37622,0.45652,0.39038,0.51210,Yes
171,0.09852,0.28041,0.27397,0.39910,0.32674,0.47964188275084574,0.46859,0.36506,Yes
172,0.34449,0.18270,0.40616,0.60111,0.45095,0.53420,0.42308,0.64982,Yes
173,0.37230,0.21263,0.40602,0.45800,0.42131,0.47964188275084574,0.53269,0.50877,Yes
174,0.2774844730941708,0.22572,0.38719,0.47327,0.39733,0.43988,0.50641,0.55195,Yes
175,0.20175,0.28087,0.33317,0.51235,0.41256,0.46819,0.45769,0.51181,Yes
176,0.33535,0.22346,0.48718,0.50009,0.47100,0.48815,0.38974,0.57915,Yes
177,0.10467,0.38858,0.38618,0.40764,0.38012,0.39617,0.36795,0.38771,Yes
178,0.27958,0.18051,0.35495,0.51149,0.38153,0.45356,0.36987,0.58216,Yes
179,0.32524,0.24541,0.40823,0.48540,0.41635,0.45519,0.34551,0.61433,Yes
180,0.19406,0.19046,0.31803,0.40828,0.30055,0.36022,0.50962,0.32759,Yes
181,0.31880,0.47341,0.64301,0.64799,0.60627,0.63068,0.36090,0.73865,Yes
182,0.2774844730941708,0.14545,0.41557,0.55251,0.44503,0.50494,0.37244,0.67324,Yes
183,0.34660,0.15488,0.39570,0.53387,0.42929,0.48758,0.39103,0.60694,Yes
184,0.27277,0.20628,0.36967,0.50780,0.39764,0.45889,0.43718,0.53015,Yes
185,0.32657,0.21085,0.42678,0.50657,0.43064,0.47327,0.37500,0.54939,Yes
186,0.36961,0.13068,0.46080,0.52365,0.44165719278466725,0.46705,0.34103,0.57679,Yes
187,0.52567,0.18586,0.65785,0.50534,0.43534,0.47475,0.44482219318181737,0.62819,Yes
188,0.19971,0.17560,0.31286,0.44855,0.32554,0.39362,0.49423,0.38147,Yes
189,0.22697,0.14043,0.27186,0.37950,0.44165719278466725,0.32168,0.40962,0.35087,Yes
190,0.07082,0.41317,0.34385,0.50423,0.43747,0.47511,0.48974,0.44034,Yes
191,0.19878,0.32367,0.34237,0.43113,0.36043,0.40002,0.33846,0.38647,Yes
192,0.12701,0.16670,0.27596,0.43788,0.34427,0.39633,0.49231,0.33834,Yes
193,0.29817,0.30749,0.39226,0.506856929133858,0.46131,0.47814,0.42308,0.62286,Yes
194,0.34483,0.08534,0.39188,0.39230,0.31126,0.35637,0.29551,0.5285059502262444,Yes
195,0.25345,0.32670,0.48845,0.58579,0.50129,0.54879,0.42308,0.64600,Yes
196,0.15929,0.16896,0.31485,0.48823,0.37134,0.43620,0.41923,0.44450,Yes
197,0.43180,0.13939,0.40507,0.43427,0.32012,0.38334,0.24936,0.48571,Yes
198,0.2774844730941708,0.29188037946428597,0.43036,0.48820,0.40612,0.45205,0.33397,0.52114,Yes
199,0.19488,0.25211,0.32184,0.43158,0.32656,0.38481,0.66538,0.38259,Yes
200,0.13935,0.30178,0.35758,0.50629,0.40988,0.46365,0.28910,0.50374,Yes
201,0.33569,0.36002,0.58047,0.56191,0.47125,0.52204,0.63269,0.64397,Yes
202,0.19724,0.30916,0.42922,0.50209,0.40931,0.46110,0.41923,0.58324,Yes
203,0.18218,0.33658,0.36905,0.506856929133858,0.39896,0.42346,0.53333,0.45341,Yes
204,0.14483,0.13143,0.23093,0.43324,0.31852,0.38206,0.45128,0.40911,Yes
205,0.22762,0.45502,0.50388,0.55426,0.52152,0.54079,0.38846,0.55517,Yes
206,0.14483,0.21506,0.23815,0.34506,0.27862,0.31566,0.28718,0.30919,Yes
207,0.40907,0.22010,0.42874215246636765,0.52593,0.46834,0.50105,0.46154,0.55320,Yes
208,0.40896,0.15981,0.49112,0.50564,0.41001,0.46335,0.33077,0.61565,Yes
209,0.15893,0.24842,0.34681,0.47155,0.39978,0.44006,0.51346,0.49726,Yes
210,0.27072,0.13862,0.38846,0.44334,0.36083,0.40688,0.40385,0.48249,Yes
211,0.14380,0.29188037946428597,0.37130,0.48635,0.43102,0.46240,0.41538,0.48571,Yes
212,0.40552,0.25091,0.50899,0.51028,0.44425,0.48151,0.38205,0.73051,Yes
213,0.14483,0.31861,0.36093,0.52533,0.37208,0.45681,0.58013,0.45241,Yes
214,0.11653,0.36050,0.40700,0.48019,0.44917,0.46731,0.39615,0.47567,Yes
215,0.24138,0.18669,0.33385,0.47457,0.35552,0.42152,0.28718,0.46490,Yes
216,0.12450,0.20909,0.23359,0.40447,0.26767,0.34313,0.54872,0.33847,Yes
217,0.27982,0.18645,0.37841,0.57287,0.42951,0.50899,0.33462,0.55625,Yes
218,0.21764,0.22878,0.37398,0.44118,0.44165719278466725,0.41494,0.44482219318181737,0.5285059502262444,Yes
219,0.19929,0.24662,0.36834,0.51306,0.41015,0.46747,0.56282,0.48273,Yes
220,0.12421,0.22152,0.27465,0.42619,0.33325,0.38492,0.50897,0.36158,Yes
221,0.12439,0.51311,0.45487,0.52782,0.46352,0.49989,0.44487,0.54650,Yes
222,0.12424,0.23369,0.32163,0.51629,0.37791,0.45453,0.40000,0.44457,Yes
223,0.17270,0.32346,0.36402,0.46715,0.39518,0.43556,0.44482219318181737,0.49215,Yes
224,0.16688,0.25814,0.37490,0.506856929133858,0.40518,0.46240,0.41731,0.48811,Yes
225,0.12516,0.34074,0.37698,0.45583,0.38422,0.47964188275084574,0.30641,0.42095,Yes
226,0.39545,0.26692,0.43853,0.40069,0.37543,0.39023,0.35192,0.47331,Yes
227,0.27216,0.19646,0.43655,0.43390,0.37350,0.40750,0.34936,0.46616,Yes
228,0.25908,0.48788,0.47528,0.52591,0.49086,0.51132,0.56090,0.54011,Yes
229,0.45057,0.29188037946428597,0.40507,0.37210,0.34678,0.36154,0.39231,0.44686,Yes
230,0.16598,0.17253,0.31496,0.44839,0.30820,0.38562,0.42628,0.42044,Yes
231,0.2774844730941708,0.25396,0.40859,0.53896,0.43779,0.49424,0.38526,0.57302,Yes
232,0.11816,0.29243,0.28113,0.45484,0.36645,0.41572,0.38462,0.38382,Yes
233,0.28974,0.13537,0.32788,0.47497,0.36527,0.42618,0.40641,0.48010,Yes
234,0.44487,0.10587,0.39476,0.56527,0.42134,0.50111,0.26859,0.60524,Yes
235,0.13031,0.29188037946428597,0.29149,0.49011,0.38759,0.44464,0.50577,0.39432,Yes
236,0.17442,0.16188,0.34074,0.50290,0.38526,0.45057,0.47564,0.49449,Yes
237,0.11754,0.29188037946428597,0.34523,0.51770,0.42314,0.47594,0.43141,0.49078,Yes
238,0.15283,0.21014,0.23245,0.43992,0.33722,0.39424,0.62628,0.38320,Yes
239,0.08591,0.29237,0.29444,0.41229,0.34955,0.38476,0.40962,0.5285059502262444,Yes
240,0.53640,0.26551,0.60970,0.60102,0.52055,0.56591,0.48910,0.66150,Yes
241,0.56322,0.23232,0.60970,0.60390,0.51250,0.56381,0.44615,0.66150,Yes
242,0.53640,0.29188037946428597,0.60970,0.61831,0.52444,0.57712,0.48910,0.66150,Yes
243,0.50958,0.29188037946428597,0.60970,0.63331,0.53766,0.59135,0.50064,0.66150,Yes
244,0.53217,0.26342,0.60433,0.65169,0.54356,0.60409,0.50000,0.5285059502262444,Yes
245,0.05981,0.38241,0.28551,0.49213,0.41570,0.45857,0.34231,0.45305,Yes
246,0.18626,0.19757,0.32567,0.43783,0.34089,0.39477,0.28654,0.45359,Yes
247,0.50557,0.26342,0.56452,0.56120,0.42932,0.50252,0.40000,0.60045,Yes
248,0.32441,0.36800,0.55449,0.71504,0.57789,0.65437,0.52628,0.81678,Yes
249,0.19244,0.24767,0.29611,0.44917,0.30457,0.38440,0.49615,0.38614,Yes
250,0.15681,0.26197,0.36747,0.47603,0.40090,0.44302,0.47628,0.47625,Yes
251,0.57696,0.23799,0.62634,0.62308,0.52778,0.58125,0.45769,0.68000,Yes
252,0.29787,0.41945,0.50384,0.506856929133858,0.53902,0.59783,0.51282,0.62567,Yes
253,0.2774844730941708,0.18348,0.36661,0.39874,0.33703,0.37164,0.43910,0.38875,Yes
254,0.22369,0.30647,0.42957,0.55449,0.46417,0.51476,0.50256,0.53670,Yes
255,0.20559,0.23851,0.34088,0.51391,0.40402,0.46514,0.41923,0.47907,Yes
256,0.28852,0.21270,0.38907,0.50651,0.42355,0.47001,0.58462,0.53812,Yes
257,0.11467,0.20843,0.42874215246636765,0.41747,0.44165719278466725,0.37043,0.50897,0.34294,Yes
258,0.14441,0.41103,0.31648,0.37892,0.36994,0.47964188275084574,0.33397,0.40103,Yes
259,0.27112,0.22766,0.39114,0.49475,0.36972,0.43902,0.45705,0.47736,Yes
260,0.16434,0.29235,0.32712,0.35164,0.32117,0.33867,0.42051,0.5285059502262444,Yes
261,0.24506,0.20749,0.29422,0.40982,0.29560,0.35880,0.39872,0.33889,Yes
262,0.18517,0.34371,0.30849,0.43538,0.34939,0.39731,0.30449,0.41386,Yes
263,0.29021,0.19153,0.40035,0.47703,0.37397,0.43128,0.47949,0.48126,Yes
264,0.26255,0.27250,0.37740,0.55017,0.44686,0.50450,0.46090,0.52223,Yes
265,0.38077,0.35339,0.53284,0.56509,0.52299,0.54739,0.36987,0.59243,Yes
266,0.32015,0.26411,0.43315,0.53405,0.45719,0.50040,0.35064,0.55320,Yes
267,0.26190,0.21955,0.38892,0.55920,0.43112,0.50225,0.38397,0.60811,Yes
268,0.21920,0.45209,0.46048,0.51346,0.47999,0.49956,0.50128,0.48256,Yes
269,0.06744,0.29671,0.29751,0.50732,0.38509,0.45290,0.44872,0.40946,Yes
270,0.26562,0.25566,0.34705,0.42342,0.38472,0.40689,0.41538,0.47299,Yes
271,0.19255,0.38125,0.43892,0.49557,0.46913,0.48482,0.44482219318181737,0.52059,Yes
272,0.25873,0.27443,0.39366,0.48884,0.38403,0.44232,0.48718,0.55857,Yes
273,0.13371,0.30085,0.34586,0.47955,0.41750,0.45252,0.38654,0.47313,Yes
274,0.25853,0.38847,0.48012,0.53167,0.48721,0.51280,0.45705,0.51438,Yes
275,0.19665,0.32660,0.36889,0.45939,0.40578,0.43616,0.43974,0.47411,Yes
276,0.24248,0.26196,0.37960,0.41405,0.36159,0.39122,0.43526,0.49501,Yes
277,0.17823,0.25585,0.36489,0.46073,0.39145,0.43035,0.58526,0.44882,Yes
278,0.21903,0.30976,0.48933,0.60792,0.49796,0.55937,0.39295,0.68000,Yes
279,0.18807,0.37091,0.38480,0.41919,0.39233,0.40805,0.43077,0.48267,Yes
280,0.06258,0.46465,0.44252,0.46958,0.41259,0.47964188275084574,0.36923,0.44254,Yes
281,0.12594,0.26840,0.33581,0.47452,0.37386,0.42986,0.44482219318181737,0.42900,Yes
282,0.13365,0.25989,0.35603,0.40738,0.31253,0.36519,0.28269,0.45608,Yes
283,0.29233,0.21705,0.42616,0.49673,0.41161,0.45922,0.32949,0.51597,Yes
284,0.33422,0.16084,0.41371,0.51421,0.37662,0.45281,0.32372,0.62022,Yes
285,0.10871,0.29243,0.30588,0.38175,0.44165719278466725,0.37061,0.39423,0.38219,Yes
286,0.51593,0.19153,0.50648,0.506856929133858,0.42274,0.50095,0.33782,0.56135,Yes
287,0.16484,0.29188037946428597,0.33275,0.42871,0.33470,0.38696,0.58782,0.39839,Yes
288,0.27891,0.29188037946428597,0.43704,0.50933,0.40282,0.46209,0.57628,0.55172,Yes
